page,titles,comment_count
1,Porn,43
1,Need advice - why is he obsessed ,19
1,Sex after baby? ,15
1,Gf throwing up yellow liquid during morning sickness. Is this normal?,10
1,My baby has an extra chromosome? XXY,12
1,Begging for sex!,100
1,Her farts.... They're killin me. ,7
1,Advice please! Hubby is down.Â ,3
1,Circumcision: What are you choosing and why?,25
1,Wife won't listen,23
1,New dad sleeping in hospital waiting room,20
1,Mother In Law In Town,14
1,Bad Dreams For Me (Dad),11
1,Fed up with gf's lack of affection,11
1,Night feeds and working.,14
1,Semen in underwear?!?!,17
1,Is naming son with your own name a good idea?,12
1,Wife Suddenly Cant Stand My Smell,15
1,Lack of Affection - 5/6Weeks Pregnant,17
1,Tough time in first trimester,10
1,So now she wants me to be an every other weekend dad.,8
1,hospital gift ideas for my boyfriend,15
1,GF pregnant and has stopped loving me.,9
1,The Mother of my child hates me an I have no clue why,7
1,7 months pregnant no sex,14
1,pregnant wife seems to hate me,13
1,ready to blow my brains out.,17
1,To All The Ladies Who Think I am Rude,138
1,Can't have sex with my wife while she is pregnant.,8
1,Push present ideas?!?!,43
1,Wife thinks I'm selfish ,24
1,Loving Spouse more than Child,20
1,is ivy a stripper name?,9
1,so sick of masturbation,10
1,gf is pregnant with no ring ,15
1,Is the baby mine?,38
1,"Jackson, Jaxon, or Jaxen? ",49
1,making me fat!,8
1,Chase-,19
1,Cleaning Daughter's Vagina - And She Laughs!,9
1,My son always looks worried ,11
1,Touching My Wife's Pregnant Belly,46
1,Life after miscarriage,21
1,baby monitor vs ip camera as baby monitor ,8
1,dad is always horny advice,10
1,manly minivan?,28
1,very strong smell,25
1,Dramatic wife,29
1,dizzy wife,17
1,the godfather... well not really,7
2,I need a guys help! ,11
2,crunch time,1
2,Sleeping In The Nude,14
2,breastfeeding turn on?,12
2,Babymoon and Push Gifts ,38
2,She wants sex 24/7,11
2,Staying at the hospital,18
2,Diaper Party,10
2,Flat......Eggshell or Satin?,16
2,Thinking of joining the Navy,26
2,No Sexxx,21
2,anal,19
2,having a daughter vs having a son,14
2,Pee breaks during sex...,11
2,Vasectomy Experiences?,9
2,Sympathy weight gain,21
2,Selfishly Horny,17
2,why am I the punching bag,20
2,The dog and my wife,12
2,Is George Carlin right?,54
2,pregnancy gift for wife,59
2,NOT MORNING SICKNESS (all DAY SICKNESS),19
2,Best sexual positions,19
2,men's opinion on circumcision,38
2,guys reactions to pregnancy?,18
2,Diaper bag,25
2,Question about C-sections,10
2,Gay baby shower,11
2,Dirty nursery rhymes ?,30
2,sex in the first trimester,17
2,Was your wife's mother in the room during delivery,36
2,"Finding out the gender tomorrow, very nervous",12
2,50 Shades of Grey-guys perspective,26
2,motorcycle riding,19
2,What are the best thin condoms? ,25
2,Pregnant wife = Fat husband?,10
2,Wife forbids me to get tattoos,31
2,Walking Dead Season 3,7
2,Facebook announcement ideas ... For guys,12
2,First Time Dad Needs Some Input,9
2,no sex and it's KILLING me!,40
2,for dads who helped potty train their son,12
2,Excessive fights during pregnancy,32
2,past coming back to haunt me,50
2,calling your wife beautiful ,20
2,My husband wants to have sex...,21
2,"Rear facing infant seat, regular can pickup truck.",12
2,Video Game Raging,8
2,More sex or less sex?!?!,27
2,no belly touching during sex ,14
3,Being with my wife is so stressful. ,18
3,girl disappointment,19
3,big baby,18
3,Arguing more,7
3,CBR vs. Viacord,7
3,3rd is a...,5
3,Car Seat Trouble,29
3,Songs that Daddy sings,11
3,Baby Girl Calling Everybody Daddy,8
3,Hospital Bag - For Us Men,23
3,What to do? Baby needs soft bed. ,11
3,"she left me and she is pregnant,my heart will explode :(((((",11
3,building a dog house,14
3,sex & breast milk,26
3,When to take baby to sporting event,7
3,"Dating Less Than 3 Months, How To Tell Him Im Pregnant?",15
3,33 years old; hope I'm not too old!,13
3,Baby's Sex,9
3,Watching birth of your child ,32
3,Short Term Disability Question,9
3,"Husband afraid sex will ""hurt"" baby and I",10
3,Dads opinions on girl names,19
3,Baby Girl rejecting daddy?,7
3,"baby shower, say what?",9
3,Am I the only one stuck doing night time feedings?,21
3,DH sad about having girl,13
3,What are you looking forward to?,24
3,husband doesn't want sex,13
3,How important is a Junior?,19
3,having a girl and I'm a little worried,9
3,Overwhelmed/anxious/depressed,8
3,Baby monitors ,10
3,How much time did you take off work?,20
3,8yo daughter cries over homework constantly,18
3,Tall women vs. Short women ,13
3,Baby Monitors: Audio or Video?,11
3,Any Men Feeling Pregnancy Symptoms?,21
3,stripper at daddy shower,16
3,PSA: Porn Star Name Game,29
3,distant husband syndrome ,10
3,How long does it take to knock the wife up!?,30
3,Peeing in front of son?,11
3,is it normal or does she hate me,28
3,What first glass of red wine should I have?!,12
3,Friday Fun Facts (August 26),14
3,Halloween Costumes,31
3,Is my kid becoming a brat?,15
3,sex drive after baby,9
3,Post vasectomy,13
3,View on pregnant women,16
4,Willy getting big in bath,23
4,can he really change?,5
4,Father of a girl,24
4,A dad's view on circumcision.,49
4,Apps For Adults (and I'm not talking about XXX),15
4,BF a turn on?,10
4,Overprotective wife??,8
4,Dad Co Sleeping w/ pre teen daughter? ,37
4,Headphones on the belly,8
4,Sex Positions,37
4,natural birth,47
4,Dad can't handle the crying,9
4,Gender reveal? No party.,8
4,445 calories a day...,37
4,Circumcision? Wanting the guys' opini...,171
4,Beautiful not sexy,11
4,Skin to Skin Contact,11
4,squeamish dad in delivery room?,10
4,Baby Doesn't Like To Be By Dad ,9
4,Third Shift Dads,8
4,Can I Get A Reach Around or Something?!,18
4,Reading to Your Unborn Baby,7
4,sex better while pregnant ?,20
4,Problem with husband/mother in law; Need advise.,26
4,can't keep up with the wife,17
4,Any Single Dad's in the Portland OREGON Metro area?,11
4,Is my baby daddy cheating??,11
4,stress of first time fathers,8
4,Gift for Dad after the birth. ,9
4,Wife doesn't want any affection from me,16
4,couples baby shower,9
4,Newborn Frustration,12
4,A bro shower!!,10
4,1st time mom needs advice from uncut men please,30
4,Nympho???,36
4,Dad not allowed in ultrasound?,34
4,is it safe still have sex while wife is 2 months along?,12
4,Breast milk for daddy ,16
4,Abu el Banat - It's a girl!,9
4,Girlfriend Emotional Mess??,9
4,hot pregnant wife..,7
4,He finds the baby bump gross,9
4,7 weeks pregnant and not interested,10
4,Feeling baby move for the first time,9
4,wife's weight gain,53
4,Will my son be a sissy?,16
4,Help me determine the sex of our baby (ultrasound video inside),16
4,alcoholic baby daddy,28
4,father not as excited as I'd hope,9
4,Sex after Baby birth ...,8
5,push gift for wife,23
5,sympathy symptoms,30
5,My wife is sleep deprived and getting borderline crazy. Suggestions?,8
5,wife does not cry in front of me because of past issue,19
5,Anyone tried breast milk?,12
5,can I hurt my baby If I have sex with my wife,7
5,pregnant sex but not in a relationship,24
5,Taking my wife on a long road trip at eight months pregnant - Bad Idea?,27
5,drinking while spouse is pregnant,45
5,my girlfriend wants an abortion and I don't,86
5,"loves me,????? doesn't want to lose me?????",17
5,Is your wife looking at being a stay at home Mom? Suggestions?,31
5,Emotions you felt when your baby was born,9
5,good pregnancy books for dads to be?,13
5,Dads who are nesting...,8
5,First timers...husband is afraid of delivery room,14
5,spanking,46
5,Guys point of view- breast reduction ,11
5,My pregnant girlfriend really hates me or it's the hormones?HELP PLEASE!,35
5,Do you know why she wants to bear your child???,7
5,Crazy Babymama! Help with custody!,14
5,pregnant sex but not in a relationship,22
5,Comfort of mom and dad at the first prenatal visit,43
5,How do explain to a man why affection is important? (TMI),10
5,Baby movement in late pregnancy.,7
5,When Should Our Daughter Get her ears ear pierced??????,30
5,My Wife Is Driving Me Crazy! ,18
5,"First time expectant Dad, excited and terrified!",7
5,Good Stroller/Car Seat Brands,9
5,Do dads have to wear scrubs if delivering in a hospital???,10
5,2nd baby W/ 2nd baby mama.......,18
5,middle name for Xavier,16
5,What to do with a man who has walk out on baby and mom?,16
5,What are your favorite father/daughter songs?,18
5,She's got lower back pain...relief?,15
5,advice for emotionless husband?,9
5,"Keeping Relationship ""Healthy"" During Pregnancy",7
5,how old do they get out of infant car seats?,7
5,Husband and mid-life crisis???,12
5,dont want a kid but wife is pregnant,59
5,Gift for Dad at birth,7
5,"My wife's lost her damn mind, and I'm about to lose mine too",15
5,Dad's really disappointed it's a girl,10
5,Is it possible to say he lied about cheating?,13
5,What Expectant Fathers Want. (Funny),9
5,Letter To My Unborn Baby,26
5,"possible teen father, need advice!!!!",6
5,Need some input guys! Thanks! OT,2
5,Crib Tents,2
5,I could use some male advice,6
6,Convertable Cribs -vs- the other options,6
6,New Life,6
6,Pictures at last,6
6,Things I've learned...,6
6,NEW TO SITE EXPECTING A GIRL SOON,2
6,baby showers,2
6,mom seeking daddy advice,0
6,Read Heidi's Holiday Blog! ,0
6,happy happy merry merry! ,0
6,testing -qa - patch,0
6,What branch of service/fire/police,1
6,NEED to know what you were having?,2
6,Dad's with daughters.... HELP!!!!,2
6,Do you think he will prapose?,5
6,Tough night (very long),1
6,I want my husband to show me his exitmen,0
6,Any day now.... time has flown ,1
6,I'm a Mom who needs help supporting Dad!,0
6,how young is too young,1
6,"August Toddler Idol, please vote!!",0
6,Car rear seats,0
6,Need your perspective on circumcision,2
6,For MEN with SAHW/M,0
6,Diabetic Dads ?,0
